Gemeinde,Postleitzahl,Lon,Lat,Bundesland,SchÅler
Radfeld,6241,47.4481,11.9142,Tirol,114
Gro·gmain,5084,47.7167,12.9167,Salzburg,114
St. Wolfgang im Salzkammergut,5360,47.7336,13.518,Oberîsterreich,113
Sistrans,6073,47.25,11.45,Tirol,113
Pîttsching,7033,47.7997,16.3994,Burgenland,113
Oberhofen im Inntal,6406,47.3,11.0833,Tirol,113
Litschau,3873,48.8833,15.0333,Niederîsterreich,113
Forchtenstein,7212,47.7116,16.3453,Burgenland,113
Weistrach,3351,48.0585,14.6054,Niederîsterreich,112
Weiden am See,7100,47.949,16.8417,Burgenland,112
St. Aegyd am Neuwalde,3193,47.8691,15.5655,Niederîsterreich,112
Roppen,6426,47.2167,10.8167,Tirol,112
Naas,8160,47.2395,15.5649,Steiermark,112
Hofkirchen im Traunkreis,4491,48.1809,14.3667,Oberîsterreich,112
Mutters,6020,47.2714,11.3865,Tirol,111
Wei·enstein,9500,46.6173,13.8349,KÑrnten,110
Weinitzen,8044,47.1352,15.4601,Steiermark,110
Thal,8051,47.031,15.3727,Steiermark,110
MÅnichreith-Laimbach,3650,48.3003,15.236,Niederîsterreich,110
Grafenbach-St. Valentin,2620,47.6667,16.0833,Niederîsterreich,110
Buch bei Jenbach,6220,47.3745,11.754,Tirol,110
Terfens,6123,47.32,11.622,Tirol,109
St. Jakob in Defereggen,9963,46.9178,12.3343,Tirol,109
Ramsau am Dachstein,8972,47.3921,13.65,Steiermark,109
Hadres,2061,48.7,16.1167,Niederîsterreich,109
Sommerein,2434,48.0326,16.5933,Niederîsterreich,108
Sankt Nikolai im Sausal,8411,46.8833,15.4167,Steiermark,108
Lichtenberg,4040,48.3064,14.2861,Oberîsterreich,108
Mieders,6142,47.1667,11.3833,Tirol,108
Langenegg,6941,47.4667,9.8833,Vorarlberg,108
Fu·ach,6972,47.4793,9.6628,Vorarlberg,108
Biberbach,3331,47.9956,14.7606,Niederîsterreich,108
Asperhofen,3034,48.173,15.9527,Niederîsterreich,108
Reichenau im MÅhlkreis,4180,48.5027,14.1971,Oberîsterreich,107
Hohenruppersdorf,2223,48.45,16.65,Niederîsterreich,107
Engelhartstetten,2292,48.15,16.8833,Niederîsterreich,107
Rinn,6074,47.25,11.5,Tirol,106
Martinsberg,3664,48.3667,15.15,Niederîsterreich,106
Winklarn,3300,48.1216,14.8796,Niederîsterreich,105
Seebenstein,2824,47.7192,16.2197,Niederîsterreich,105
Navis,6145,47.1333,11.5167,Tirol,105
Gattendorf,2474,48.0167,16.9833,Burgenland,105
Zîbern,2851,47.5333,16.15,Niederîsterreich,104
Schlei·heim,4600,48.2039,14.0373,Oberîsterreich,104
St. Marienkirchen an der Polsenz,4076,48.2701,13.9497,Oberîsterreich,104
Peggau,8114,47.1833,15.3333,Steiermark,104
Nu·bach,4542,47.9782,14.1183,Oberîsterreich,104
Krumpendorf am Wîrthersee,9061,46.6566,14.345,KÑrnten,104
Kallham,4720,48.2681,13.6686,Oberîsterreich,104
Goldegg,5621,47.3333,13.0833,Salzburg,104
Lend,5651,47.3048,13.0849,Salzburg,103
Gro·krut,2143,48.6333,16.7333,Niederîsterreich,103
Aschach an der Steyr,4421,47.9923,14.289,Oberîsterreich,103
Desselbrunn,4693,48.0446,13.7748,Oberîsterreich,103
Pamhagen,7152,47.7009,16.9078,Burgenland,102
Lesachtal,9652,46.6962,12.8153,KÑrnten,102
Eggerding,4773,48.3799,13.532,Oberîsterreich,102
Roitham am Traunfall,4655,48.0489,13.9247,Oberîsterreich,101
Maria Anzbach,3034,48.173,15.9527,Niederîsterreich,101
Holzhausen,4615,48.2432,14.0958,Oberîsterreich,101
Kefermarkt,4212,48.4139,14.445,Oberîsterreich,101
Feistritztal,8212,47.2243,15.7516,Steiermark,101
Saalbach-Hinterglemm,5753,47.3914,12.6364,Salzburg,100
Sankt Martin an der Raab,8350,46.9292,16.0825,Burgenland,100
Ferschnitz,3325,48.0833,15,Niederîsterreich,100
Fritzens,6122,47.3,11.5833,Tirol,100
Hîflein,2465,48.0667,16.7833,Niederîsterreich,99
Aigen im Ennstal,8943,47.4667,14.2333,Steiermark,99
Wolfsthal,2412,48.1333,17,Niederîsterreich,98
Trautmannsdorf an der Leitha,2454,48.0167,16.6333,Niederîsterreich,98
Sankt Martin im Sulmtal,8443,46.7655,15.4029,Steiermark,98
Kematen an der Ybbs,3331,47.9956,14.7606,Niederîsterreich,98
Feistritz ob Bleiburg,9143,46.5789,14.7433,KÑrnten,98
Aschach an der Donau,4082,48.3711,14.0208,Oberîsterreich,98
Zell am Moos,4893,47.8667,13.3167,Oberîsterreich,97
Wimpassing an der Leitha,2485,47.9167,16.4333,Burgenland,97
St. Koloman,5423,47.6902,13.1523,Salzburg,97
Mitterdorf an der Raab,8160,47.2395,15.5649,Steiermark,97
MÅnzbach,4323,48.2952,14.7361,Oberîsterreich,97
Buch-St. Magdalena,8272,47.1833,15.9167,Steiermark,97
Dunkelsteinerwald,3122,48.3333,15.4833,Niederîsterreich,97
Pfarrkirchen bei Bad Hall,4540,48.0529,14.1292,Oberîsterreich,96
Prutz,6522,47.0833,10.6667,Tirol,96
Lasberg,4240,48.4513,14.4877,Oberîsterreich,96
Langenrohr,3435,48.3389,15.9329,Niederîsterreich,96
Gro·ru·bach,2113,48.5,16.3667,Niederîsterreich,96
Hagenbrunn,2102,48.35,16.3833,Niederîsterreich,96
Eidenberg,4201,48.3803,14.1918,Oberîsterreich,96
Tschagguns,6774,47.0833,9.9,Vorarlberg,95
Weiler,6837,47.2997,9.65,Vorarlberg,95
